seq_idx,header,rank,start_pos,end_pos,trough_pos,width_bp,mean_residual,gc_pct,nonB_motifs,n_motif_types
1479,FP015120 EPPIN_1             :+U  EU:NC; range -3000 to  3000.,2,-150,-101,-127,50,-0.08466,49.15,DirectRepeat,1
1479,FP015120 EPPIN_1             :+U  EU:NC; range -3000 to  3000.,3,-100,-41,-53,60,-0.12277,52.17,STR;DirectRepeat;Triplex,3
1480,FP007029 RIPK2_1             :+U  EU:NC; range -3000 to  3000.,1,-183,-116,-123,68,-0.29129,80.52,STR;DirectRepeat,2
1480,FP007029 RIPK2_1             :+U  EU:NC; range -3000 to  3000.,2,-113,13,-29,127,-0.07162,74.26,ZDNA;STR;DirectRepeat;Triplex,4
1481,FP004923 SLC6A7_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-165,50,-0.38743,57.63,STR;DirectRepeat,2
1481,FP004923 SLC6A7_1            :+U  EU:NC; range -3000 to  3000.,2,-111,15,-58,127,-0.05904,71.32,ZDNA;STR;DirectRepeat,3
1482,FP013178 DDX5_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-137,-152,64,-0.52727,64.38,STR;DirectRepeat,2
1483,FP009818 SMARCD1_1           :+U  EU:NC; range -3000 to  3000.,1,-167,-21,-29,147,-0.19224,76.28,G4;STR;DirectRepeat,3
1484,FP004821 CD14_1              :+U  EU:NC; range -3000 to  3000.,1,-90,-41,-58,50,-0.41793,55.93,STR;DirectRepeat;Triplex,3
1487,FP008541 ANO9_1              :+U  EU:NC; range -3000 to  3000.,1,-56,-7,-53,50,-0.21856,74.58,STR;DirectRepeat;Triplex,3
1488,FP004524 RNF180_1            :+U  EU:NC; range -3000 to  3000.,1,-181,-88,-102,94,-0.06005,79.61,STR;DirectRepeat,2
1489,FP004172 TRPC3_1             :+U  EU:NC; range -3000 to  3000.,1,-189,-137,-155,53,-0.70591,48.39,STR;DirectRepeat;Triplex,3
1489,FP004172 TRPC3_1             :+U  EU:NC; range -3000 to  3000.,2,-126,-36,-58,91,-0.42997,59.0,iMotif;STR;DirectRepeat,3
1491,FP000165 FAM131C_1           :+U  EU:NC; range -3000 to  3000.,1,-166,46,-44,213,-0.05222,80.63,iMotif;STR;DirectRepeat,3
1492,FP016117 CHIC1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-165,50,-1.23918,72.88,iMotif;STR;DirectRepeat,3
1492,FP016117 CHIC1_1             :+U  EU:NC; range -3000 to  3000.,2,-150,-73,-77,78,-0.34783,58.62,STR;DirectRepeat,2
1494,FP006189 ZNF107_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-149,-197,52,-0.36997,50.82,STR;DirectRepeat,2
1494,FP006189 ZNF107_1            :+U  EU:NC; range -3000 to  3000.,2,-144,-95,-95,50,-0.11025,62.71,DirectRepeat,1
1495,FP006682 CNPY1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-141,-166,60,-1.31411,76.81,G4;STR;DirectRepeat;Triplex,4
1496,FP001982 GFPT1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-138,-145,63,-0.40628,80.56,STR;DirectRepeat,2
1496,FP001982 GFPT1_1             :+U  EU:NC; range -3000 to  3000.,2,-124,-9,-51,116,-0.07358,78.4,STR;DirectRepeat,2
1498,FP007642 KIF12_1             :+U  EU:NC; range -3000 to  3000.,1,-38,11,-37,50,-0.49919,59.32,STR;DirectRepeat,2
1499,FP000730 TGFBR3_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-178,50,-0.29205,76.27,STR;DirectRepeat;Triplex,3
1499,FP000730 TGFBR3_1            :+U  EU:NC; range -3000 to  3000.,2,-120,-71,-82,50,-0.28713,74.58,STR;DirectRepeat,2
1500,FP001195 NECTIN4_1           :+U  EU:NC; range -3000 to  3000.,1,-121,-72,-120,50,-0.41472,69.49,STR;DirectRepeat,2
1501,FP004720 CTXN3_1             :+U  EU:NC; range -3000 to  3000.,1,-90,-41,-86,50,-0.40968,44.07,STR;DirectRepeat,2
1501,FP004720 CTXN3_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-169,50,-0.19858,40.68,DirectRepeat,1
1501,FP004720 CTXN3_1             :+U  EU:NC; range -3000 to  3000.,3,-150,-91,-93,60,-0.17536,44.93,STR;DirectRepeat,2
1502,FP006501 SLC13A1_1           :+U  EU:NC; range -3000 to  3000.,1,-94,-45,-48,50,-0.28496,47.46,STR;DirectRepeat,2
1502,FP006501 SLC13A1_1           :+U  EU:NC; range -3000 to  3000.,2,-192,-95,-119,98,-0.05286,29.91,STR;DirectRepeat,2
1503,FP016175 TCEAL2_1            :+U  EU:NC; range -3000 to  3000.,1,-166,-110,-120,57,-0.17197,63.64,STR;DirectRepeat;Triplex,3
1503,FP016175 TCEAL2_1            :+U  EU:NC; range -3000 to  3000.,2,-109,30,-13,140,-0.08766,77.85,iMotif;STR;DirectRepeat,3
1504,FP013382 CD7_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-174,50,-0.29978,67.8,STR;DirectRepeat,2
1504,FP013382 CD7_1               :+U  EU:NC; range -3000 to  3000.,2,-150,-31,-74,120,-0.20177,69.77,STR;DirectRepeat,2
1506,FP011842 PMM2_1              :+U  EU:NC; range -3000 to  3000.,1,-196,-147,-190,50,-0.23155,64.41,STR;DirectRepeat,2
1508,FP012514 CLEC10A_1           :+U  EU:NC; range -3000 to  3000.,1,-166,-19,-40,148,-0.07937,52.87,STR;DirectRepeat;Triplex,3
1509,FP012425 RTN4RL1_1           :+U  EU:NC; range -3000 to  3000.,1,-184,-5,-102,180,-0.08773,67.72,STR;DirectRepeat;Triplex,3
1510,FP016130 TAF9B_1             :+U  EU:NC; range -3000 to  3000.,1,-41,8,-7,50,-0.727,67.8,DirectRepeat,1
1511,FP009109 ALDH3B2_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-160,50,-0.43781,66.1,STR;DirectRepeat,2
1514,FP012254 DDX19A_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-67,-95,134,-0.08204,58.74,STR;DirectRepeat;Triplex,3
1516,FP012660 LGALS9C_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-146,-167,55,-0.49528,57.81,STR;DirectRepeat;Triplex,3
1516,FP012660 LGALS9C_1           :+U  EU:NC; range -3000 to  3000.,2,-87,-38,-85,50,-0.29973,54.24,STR;DirectRepeat,2
1518,FP011196 OTUD7A_1            :+U  EU:NC; range -3000 to  3000.,1,-192,-143,-192,50,-0.9801,93.22,ZDNA;STR;DirectRepeat,3
1519,FP010452 RXFP2_1             :+U  EU:NC; range -3000 to  3000.,1,-111,-62,-111,50,-0.47641,38.98,STR;DirectRepeat;Triplex,3
1522,FP005188 NRSN1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-16,-67,185,-0.15281,73.71,G4;STR;DirectRepeat;Triplex,4
1523,FP015673 CBY1_1              :+U  EU:NC; range -3000 to  3000.,1,-187,-138,-185,50,-0.11983,55.93,STR;DirectRepeat,2
1523,FP015673 CBY1_1              :+U  EU:NC; range -3000 to  3000.,2,-134,34,-11,169,-0.14938,65.73,STR;DirectRepeat,2
1524,FP001413 RNPEP_1             :+U  EU:NC; range -3000 to  3000.,1,-50,-1,-34,50,-0.48126,86.44,STR;DirectRepeat,2
1527,FP003324 NDUFB4_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-0.43465,67.8,STR;DirectRepeat,2
1527,FP003324 NDUFB4_1            :+U  EU:NC; range -3000 to  3000.,2,-150,-101,-112,50,-0.22647,62.71,DirectRepeat;Triplex,2
1528,FP000602 PLPP3_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-1.35839,35.59,STR;PolyT;DirectRepeat,3
1530,FP002286 PLEKHB2_1           :+U  EU:NC; range -3000 to  3000.,1,-193,-44,-79,150,-0.1677,64.78,STR;DirectRepeat,2
1531,FP000141 HNRNPCL2_1          :+U  EU:NC; range -3000 to  3000.,1,-81,-32,-81,50,-0.5572,25.42,STR;PolyT;DirectRepeat,3
1532,FP009199 ACER3_1             :+U  EU:NC; range -3000 to  3000.,1,-191,-37,-86,155,-0.16862,82.32,G4;STR;DirectRepeat,3
1533,FP012970 TMUB2_1             :+U  EU:NC; range -3000 to  3000.,1,-37,15,-24,53,-0.24545,61.29,STR;DirectRepeat,2
1534,FP004225 MMAA_1              :+U  EU:NC; range -3000 to  3000.,1,-94,-33,-56,62,-0.13564,30.99,STR;DirectRepeat,2
1536,FP006341 ARPC1B_1            :+U  EU:NC; range -3000 to  3000.,1,-78,-29,-40,50,-0.12416,81.36,STR;DirectRepeat,2
1537,FP004201 RAB33B_1            :+U  EU:NC; range -3000 to  3000.,1,-193,-24,-29,170,-0.05589,67.04,STR;DirectRepeat,2
1538,FP002690 PTMA_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-171,50,-0.0778,72.88,STR;DirectRepeat,2
1539,FP013745 CREB3L3_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-115,-137,86,-0.14278,57.89,STR;DirectRepeat,2
1540,FP005357 HLA-DPB1_1          :+U  EU:NC; range -3000 to  3000.,1,-178,24,7,203,-0.10635,43.4,STR;DirectRepeat,2
1541,FP012529 NEURL4_1            :+U  EU:NC; range -3000 to  3000.,1,-198,-111,-163,88,-0.17192,64.95,STR;DirectRepeat,2
1543,FP012933 RAMP2_1             :+U  EU:NC; range -3000 to  3000.,1,-153,-98,-102,56,-0.40629,83.08,STR;DirectRepeat,2
1543,FP012933 RAMP2_1             :+U  EU:NC; range -3000 to  3000.,2,-96,20,-17,117,-0.08784,77.78,STR;DirectRepeat,2
1544,FP007938 PROSER2_1           :+U  EU:NC; range -3000 to  3000.,1,-162,-111,-144,52,-0.55916,83.61,ZDNA;STR;DirectRepeat,3
1544,FP007938 PROSER2_1           :+U  EU:NC; range -3000 to  3000.,2,-110,-13,-20,98,-0.32936,79.44,ZDNA;STR;DirectRepeat,3
1547,FP008022 ARHGAP12_1          :+U  EU:NC; range -3000 to  3000.,1,-159,-110,-113,50,-0.47458,83.05,iMotif;STR;DirectRepeat,3
1547,FP008022 ARHGAP12_1          :+U  EU:NC; range -3000 to  3000.,2,-108,-32,-48,77,-0.2404,84.88,STR;DirectRepeat,2
1548,FP004000 USO1_1              :+U  EU:NC; range -3000 to  3000.,1,-94,-45,-49,50,-0.39149,76.27,STR;DirectRepeat,2
1548,FP004000 USO1_1              :+U  EU:NC; range -3000 to  3000.,2,-44,6,0,51,-0.25681,61.67,STR;DirectRepeat,2
1548,FP004000 USO1_1              :+U  EU:NC; range -3000 to  3000.,3,-200,-127,-152,74,-0.11571,62.65,DirectRepeat,1
1549,FP006825 PTK2B_1             :+U  EU:NC; range -3000 to  3000.,1,-178,-25,-88,154,-0.21495,57.06,STR;DirectRepeat;Triplex,3
1550,FP013572 RAX_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-48,-97,153,-0.10418,66.67,G4;STR;DirectRepeat;Triplex,4
1551,FP016327 CT45A10_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-150,-187,51,-0.47335,65.0,STR;DirectRepeat,2
1553,FP001309 BRINP2_1            :+U  EU:NC; range -3000 to  3000.,1,-122,-34,-58,89,-0.25964,57.14,STR;DirectRepeat;Triplex,3
1553,FP001309 BRINP2_1            :+U  EU:NC; range -3000 to  3000.,2,-200,-123,-143,78,-0.23844,66.67,STR;DirectRepeat;Triplex,3
1554,FP003050 USP19_1             :+U  EU:NC; range -3000 to  3000.,1,-199,-150,-186,50,-0.36328,76.27,STR;DirectRepeat,2
1554,FP003050 USP19_1             :+U  EU:NC; range -3000 to  3000.,2,-149,-38,-48,112,-0.15675,70.25,STR;DirectRepeat;Triplex,3
1555,FP014655 ZNF611_1            :+U  EU:NC; range -3000 to  3000.,1,-73,-12,-16,62,-0.27184,70.42,ZDNA;STR;DirectRepeat,3
1555,FP014655 ZNF611_1            :+U  EU:NC; range -3000 to  3000.,2,-124,-75,-81,50,-0.16365,67.8,STR;DirectRepeat,2
1556,FP009630 EIF2S3L_1           :+U  EU:NC; range -3000 to  3000.,1,-200,49,-55,250,-0.10977,61.78,STR;DirectRepeat,2
1557,FP016394 ZNF185_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-177,50,-1.28975,74.58,G4;STR;DirectRepeat,3
1558,FP005172 GMPR_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-137,-154,64,-0.27218,71.23,STR;DirectRepeat;Triplex,3
1559,FP011657 LRRC28_1            :+U  EU:NC; range -3000 to  3000.,1,-47,2,-19,50,-0.97082,84.75,iMotif;STR;DirectRepeat,3
1560,FP005865 MTHFD1L_1           :+U  EU:NC; range -3000 to  3000.,1,-188,-139,-187,50,-0.61852,66.1,STR;DirectRepeat;Triplex,3
1560,FP005865 MTHFD1L_1           :+U  EU:NC; range -3000 to  3000.,2,-131,44,-67,176,-0.05618,74.59,STR;DirectRepeat;Triplex,3
1561,FP006075 JAZF1_1             :+U  EU:NC; range -3000 to  3000.,1,-34,15,-29,50,-0.43251,88.14,iMotif;STR;DirectRepeat,3
1562,FP014656 ZNF600_1            :+U  EU:NC; range -3000 to  3000.,1,-150,-97,-101,54,-0.30785,69.84,iMotif;STR;DirectRepeat,3
1562,FP014656 ZNF600_1            :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-166,50,-0.18265,52.54,STR;DirectRepeat,2
1562,FP014656 ZNF600_1            :+U  EU:NC; range -3000 to  3000.,3,-96,-17,-59,80,-0.12051,70.79,STR;DirectRepeat,2
1563,FP007222 PUF60_1             :+U  EU:NC; range -3000 to  3000.,1,-165,-108,-110,58,-0.53186,76.12,STR;DirectRepeat,2
1565,FP003014 KLHL18_1            :+U  EU:NC; range -3000 to  3000.,1,-34,48,13,83,-0.22948,71.74,STR;DirectRepeat,2
1566,FP009230 PICALM_1            :+U  EU:NC; range -3000 to  3000.,1,-101,-52,-76,50,-0.56867,69.49,G4;STR;DirectRepeat;Triplex,4
1567,FP016305 RAP2C_1             :+U  EU:NC; range -3000 to  3000.,1,-190,-56,-103,135,-0.33777,65.28,G4;STR;PolyA;DirectRepeat;Triplex,5
1568,FP008639 ZNF215_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-195,50,-0.9587,44.07,STR;DirectRepeat,2
1569,FP013385 HEXDC_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-0.45802,64.41,STR;DirectRepeat,2
1569,FP013385 HEXDC_1             :+U  EU:NC; range -3000 to  3000.,2,-49,0,-48,50,-0.34416,79.66,iMotif;STR;DirectRepeat,3
1570,FP014362 CIC_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-178,50,-0.41381,55.93,STR;DirectRepeat,2
1571,FP002990 LZTFL1_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-0.527,57.63,STR;DirectRepeat,2
1571,FP002990 LZTFL1_1            :+U  EU:NC; range -3000 to  3000.,2,-150,-97,-141,54,-0.1174,55.56,STR,1
1572,FP006651 GIMAP1_1            :+U  EU:NC; range -3000 to  3000.,1,-125,-58,-113,68,-0.14901,48.05,STR;DirectRepeat,2
1573,FP003621 EIF4G1_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-160,50,-0.23978,66.1,G4;STR;DirectRepeat,3
1573,FP003621 EIF4G1_1            :+U  EU:NC; range -3000 to  3000.,2,-125,-45,-57,81,-0.16865,80.0,STR;DirectRepeat,2
1574,FP000672 ST6GALNAC5_1        :+U  EU:NC; range -3000 to  3000.,1,-91,-42,-91,50,-0.3111,69.49,STR;DirectRepeat;Triplex,3
1575,FP015214 PRELID3B_1          :+U  EU:NC; range -3000 to  3000.,1,-89,-9,-22,81,-0.37271,80.0,G4;STR;DirectRepeat,3
1575,FP015214 PRELID3B_1          :+U  EU:NC; range -3000 to  3000.,2,-196,-137,-141,60,-0.14188,76.81,STR;DirectRepeat,2
1576,FP009930 DGKA_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-69,-79,132,-0.06617,68.09,G4;STR;DirectRepeat,3
1577,FP006724 DEFB106A_1          :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-183,50,-0.16325,42.37,STR;DirectRepeat,2
1577,FP006724 DEFB106A_1          :+U  EU:NC; range -3000 to  3000.,2,-148,-97,-117,52,-0.06984,57.38,DirectRepeat,1
1578,FP003128 STAB1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-129,-135,72,-0.17116,70.37,STR;DirectRepeat,2
1578,FP003128 STAB1_1             :+U  EU:NC; range -3000 to  3000.,2,-107,19,-12,127,-0.15067,67.65,STR;DirectRepeat,2
1579,FP000576 PODN_1              :+U  EU:NC; range -3000 to  3000.,1,-199,-29,-172,171,-0.11813,69.44,G4;STR;DirectRepeat;Triplex,4
1580,FP004271 RXFP1_1             :+U  EU:NC; range -3000 to  3000.,1,-199,-150,-189,50,-1.00351,50.85,STR;DirectRepeat;Triplex,3
1580,FP004271 RXFP1_1             :+U  EU:NC; range -3000 to  3000.,2,-80,-31,-35,50,-0.73705,45.76,STR;DirectRepeat;Triplex,3
1581,FP013474 SS18_1              :+U  EU:NC; range -3000 to  3000.,1,-62,-13,-62,50,-0.27486,69.49,STR;DirectRepeat,2
1581,FP013474 SS18_1              :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-157,50,-0.06491,66.1,STR;DirectRepeat,2
1581,FP013474 SS18_1              :+U  EU:NC; range -3000 to  3000.,3,-150,-63,-63,88,-0.07561,73.2,STR;DirectRepeat,2
1582,FP009305 CUL5_1              :+U  EU:NC; range -3000 to  3000.,1,-106,-57,-106,50,-0.45888,77.97,G4;DirectRepeat,2
1583,FP003838 DTHD1_1             :+U  EU:NC; range -3000 to  3000.,1,-179,-130,-135,50,-0.23979,30.51,STR,1
1584,FP012310 CLEC3A_1            :+U  EU:NC; range -3000 to  3000.,1,-185,-136,-143,50,-0.28977,35.59,STR;DirectRepeat,2
1585,FP007862 FBXW5_1             :+U  EU:NC; range -3000 to  3000.,1,-137,-84,-95,54,-0.16603,76.19,STR;DirectRepeat,2
1585,FP007862 FBXW5_1             :+U  EU:NC; range -3000 to  3000.,2,-198,-138,-159,61,-0.07766,72.86,STR;DirectRepeat,2
1586,FP007338 LRRC19_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-172,50,-1.38771,33.9,STR;PolyA;DirectRepeat;Triplex,4
1586,FP007338 LRRC19_1            :+U  EU:NC; range -3000 to  3000.,2,-112,-50,-57,63,-0.07448,23.61,STR;PolyT;DirectRepeat,3
1587,FP010069 KRR1_1              :+U  EU:NC; range -3000 to  3000.,1,-181,-132,-150,50,-0.45461,52.54,STR;DirectRepeat,2
1588,FP005603 CD109_1             :+U  EU:NC; range -3000 to  3000.,1,-166,-44,-75,123,-0.1251,50.0,STR;PolyA;DirectRepeat;Triplex,4
1589,FP010515 LRCH1_1             :+U  EU:NC; range -3000 to  3000.,1,-52,-3,-17,50,-1.02721,83.05,STR;DirectRepeat,2
1589,FP010515 LRCH1_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-161,50,-0.22041,76.27,STR;DirectRepeat,2
1589,FP010515 LRCH1_1             :+U  EU:NC; range -3000 to  3000.,3,-150,-54,-57,97,-0.07131,72.64,STR;DirectRepeat;Triplex,3
1590,FP002124 CIAO1_1             :+U  EU:NC; range -3000 to  3000.,1,-59,-10,-33,50,-0.29336,83.05,ZDNA;STR;DirectRepeat,3
1591,FP014504 KDELR1_1            :+U  EU:NC; range -3000 to  3000.,1,-196,1,-20,198,-0.05633,69.57,STR;DirectRepeat,2
1593,FP014449 SIX5_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-194,50,-0.33003,76.27,ZDNA;STR;DirectRepeat,3
1594,FP016391 MAGEA6_1            :+U  EU:NC; range -3000 to  3000.,1,-125,-76,-119,50,-0.35052,61.02,STR;DirectRepeat,2
1594,FP016391 MAGEA6_1            :+U  EU:NC; range -3000 to  3000.,2,-200,-126,-184,75,-0.05195,58.33,STR;DirectRepeat,2
1595,FP002857 CAPN7_1             :+U  EU:NC; range -3000 to  3000.,1,-142,-93,-141,50,-1.08691,88.14,iMotif;STR;DirectRepeat,3
1595,FP002857 CAPN7_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-143,-143,58,-0.0583,71.64,STR;DirectRepeat,2
1596,FP010780 SPTSSA_1            :+U  EU:NC; range -3000 to  3000.,1,-116,-32,-52,85,-0.16581,84.04,G4;STR;DirectRepeat,3
1596,FP010780 SPTSSA_1            :+U  EU:NC; range -3000 to  3000.,2,-184,-117,-148,68,-0.12607,84.42,G4;ZDNA;STR;DirectRepeat,4
1597,FP011149 INF2_1              :+U  EU:NC; range -3000 to  3000.,1,-71,-1,-49,71,-0.35034,83.75,iMotif;STR;DirectRepeat,3
1599,FP000506 BEST4_1             :+U  EU:NC; range -3000 to  3000.,1,-122,-73,-111,50,-0.24255,52.54,STR;DirectRepeat,2
1600,FP001963 SLC1A4_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-192,50,-0.14481,83.05,iMotif;STR;DirectRepeat,3
1600,FP001963 SLC1A4_1            :+U  EU:NC; range -3000 to  3000.,2,-132,-83,-94,50,-0.06462,81.36,STR;DirectRepeat,2
1600,FP001963 SLC1A4_1            :+U  EU:NC; range -3000 to  3000.,3,-82,-33,-65,50,-0.08347,76.27,STR;DirectRepeat,2
1601,FP001839 MEMO1_1             :+U  EU:NC; range -3000 to  3000.,1,-42,7,-11,50,-0.72397,76.27,STR;DirectRepeat,2
1601,FP001839 MEMO1_1             :+U  EU:NC; range -3000 to  3000.,2,-130,-81,-88,50,-0.46827,76.27,STR;DirectRepeat,2
1602,FP001410 SHISA4_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-142,-171,59,-0.11526,67.65,STR;DirectRepeat,2
1603,FP015296 ADAMTS5_1           :+U  EU:NC; range -3000 to  3000.,1,-198,-149,-150,50,-0.19964,57.63,STR;DirectRepeat,2
1603,FP015296 ADAMTS5_1           :+U  EU:NC; range -3000 to  3000.,2,-145,-94,-109,52,-0.12788,60.66,G4;STR;DirectRepeat,3
1604,FP007604 FRRS1L_1            :+U  EU:NC; range -3000 to  3000.,1,-176,-105,-128,72,-0.3391,61.73,STR;DirectRepeat;Triplex,3
1606,FP008637 DCHS1_1             :+U  EU:NC; range -3000 to  3000.,1,-69,-18,-32,52,-0.48678,86.89,G4;STR;DirectRepeat;Triplex,4
1606,FP008637 DCHS1_1             :+U  EU:NC; range -3000 to  3000.,2,-132,-83,-100,50,-0.41695,93.22,G4;STR;DirectRepeat,3
1607,FP000093 H6PD_1              :+U  EU:NC; range -3000 to  3000.,1,-36,13,-23,50,-0.43613,86.44,ZDNA;STR;DirectRepeat,3
1607,FP000093 H6PD_1              :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-159,50,-0.25406,74.58,G4;STR;DirectRepeat;Triplex,4
1608,FP013401 CLUL1_1             :+U  EU:NC; range -3000 to  3000.,1,-1,48,33,50,-0.21507,72.88,STR;DirectRepeat,2
1610,FP002614 STK36_1             :+U  EU:NC; range -3000 to  3000.,1,-118,-30,-46,89,-0.24305,60.2,STR;DirectRepeat,2
1610,FP002614 STK36_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-136,-148,65,-0.12668,59.46,STR;DirectRepeat,2
1612,FP010838 FRMD6_1             :+U  EU:NC; range -3000 to  3000.,1,-119,-70,-118,50,-0.78405,88.14,G4;STR;DirectRepeat,3
1612,FP010838 FRMD6_1             :+U  EU:NC; range -3000 to  3000.,2,-69,-16,-26,54,-0.16317,77.78,STR;DirectRepeat,2
1613,FP001102 KIAA0907_1          :+U  EU:NC; range -3000 to  3000.,1,-193,-144,-191,50,-0.35083,52.54,DirectRepeat,1
1615,FP008097 BICC1_1             :+U  EU:NC; range -3000 to  3000.,1,-158,-92,-93,67,-0.14069,84.21,STR;DirectRepeat,2
1616,FP012005 CTD-2515O10_1       :+U  EU:NC; range -3000 to  3000.,1,-185,-67,-133,119,-0.22585,72.66,STR;DirectRepeat,2
1617,FP000121 FBXO6_1             :+U  EU:NC; range -3000 to  3000.,1,-190,-141,-151,50,-0.7017,66.1,STR;DirectRepeat;Triplex,3
1618,FP000619 USP1_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-132,-164,69,-0.3551,50.0,STR;DirectRepeat,2
1619,FP009845 KRT80_1             :+U  EU:NC; range -3000 to  3000.,1,-199,-150,-171,50,-0.12963,66.1,STR;DirectRepeat,2
1619,FP009845 KRT80_1             :+U  EU:NC; range -3000 to  3000.,2,-149,-77,-101,73,-0.10512,59.76,STR;DirectRepeat;Triplex,3
1620,FP002049 HK2_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-195,50,-0.61272,84.75,STR;DirectRepeat,2
1620,FP002049 HK2_1               :+U  EU:NC; range -3000 to  3000.,2,-132,-64,-98,69,-0.27164,75.64,STR;DirectRepeat,2
1621,FP004436 SPEF2_1             :+U  EU:NC; range -3000 to  3000.,1,-185,-132,-156,54,-0.68548,60.32,STR;DirectRepeat,2
1621,FP004436 SPEF2_1             :+U  EU:NC; range -3000 to  3000.,2,-120,-17,-19,104,-0.12114,62.83,STR;DirectRepeat,2
1622,FP016201 TMSB15B_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-190,50,-0.41324,67.8,G4;STR;DirectRepeat,3
1622,FP016201 TMSB15B_1           :+U  EU:NC; range -3000 to  3000.,2,-88,-39,-43,50,-0.34707,71.19,STR;DirectRepeat;Triplex,3
1624,FP015577 MTFP1_1             :+U  EU:NC; range -3000 to  3000.,1,-178,-79,-85,100,-0.1371,57.8,STR;DirectRepeat;Triplex,3
1625,FP002541 ICA1L_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-142,-174,59,-0.90666,44.12,STR;PolyA;DirectRepeat,3
1626,FP003820 PPARGC1A_1          :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-180,50,-1.25158,25.42,STR;PolyT;DirectRepeat,3
1627,FP014177 HPN_1               :+U  EU:NC; range -3000 to  3000.,1,-180,-33,-73,148,-0.0524,73.25,iMotif;STR;DirectRepeat,3
1629,FP001166 TAGLN2_1            :+U  EU:NC; range -3000 to  3000.,1,-104,-46,-50,59,-0.16188,61.76,STR;DirectRepeat,2
1629,FP001166 TAGLN2_1            :+U  EU:NC; range -3000 to  3000.,2,-195,-105,-112,91,-0.10886,62.0,STR;DirectRepeat,2
1630,FP016202 H2BFWT_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-160,50,-0.28163,61.02,STR,1
1631,FP012405 GEMIN4_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-163,50,-0.13311,74.58,STR;DirectRepeat;Triplex,3
1634,FP012308 NUDT7_1             :+U  EU:NC; range -3000 to  3000.,1,-183,-134,-140,50,-0.54212,76.27,STR;DirectRepeat,2
1634,FP012308 NUDT7_1             :+U  EU:NC; range -3000 to  3000.,2,-126,-34,-93,93,-0.19763,72.55,STR;DirectRepeat,2
1635,FP001118 CCT3_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-162,50,-0.2002,62.71,DirectRepeat,1
1635,FP001118 CCT3_1              :+U  EU:NC; range -3000 to  3000.,2,-150,15,11,166,-0.05816,54.86,STR;DirectRepeat,2
1637,FP009134 PPFIA1_1            :+U  EU:NC; range -3000 to  3000.,1,-192,-143,-188,50,-1.18401,83.05,STR;DirectRepeat,2
1637,FP009134 PPFIA1_1            :+U  EU:NC; range -3000 to  3000.,2,-142,-93,-109,50,-0.16436,72.88,STR;DirectRepeat,2
1638,FP001249 CD247_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-192,50,-1.08253,38.98,STR;DirectRepeat;Triplex,3
